prec,obama,romney,total_votes,county
1,211.0,44.0,287.0,055
2,103.0,14.0,120.0,055
3,55.0,21.0,77.0,055
4,284.0,54.0,350.0,055
5,250.0,57.0,317.0,055
6,360.0,127.0,512.0,055
7,94.0,224.0,334.0,055
8,192.0,17.0,220.0,055
9,1107.0,212.0,1372.0,055
10,292.0,42.0,352.0,055
11,643.0,106.0,785.0,055
12,879.0,205.0,1122.0,055
13,523.0,8.0,555.0,055
14,319.0,62.0,391.0,055
15,768.0,158.0,962.0,055
16,377.0,86.0,486.0,055
17,869.0,169.0,1078.0,055
18,637.0,190.0,867.0,055
19,733.0,170.0,922.0,055
20,350.0,72.0,443.0,055
21,567.0,128.0,729.0,055
22,155.0,24.0,189.0,055
23,54.0,7.0,69.0,055
24,111.0,29.0,146.0,055
25,100.0,39.0,144.0,055
26,41.0,27.0,68.0,055
27,214.0,45.0,265.0,055
28,242.0,53.0,305.0,055
29,115.0,24.0,143.0,055
30,42.0,3.0,46.0,055
31,30.0,9.0,40.0,055
32,137.0,14.0,155.0,055
33,50.0,27.0,94.0,055
34,427.0,112.0,567.0,055
35,597.0,148.0,772.0,055
36,50.0,3.0,55.0,055
